weather_id,main,description,hourly_weather_info_id,created_at,updated_at,deleted_at
500,Rain,light rain,1,2020-09-13 06:53:07.290595+00,2020-09-13 06:53:07.290595+00,
803,Clouds,broken clouds,2,2020-09-13 06:53:07.343349+00,2020-09-13 06:53:07.343349+00,
803,Clouds,broken clouds,3,2020-09-13 06:53:07.354631+00,2020-09-13 06:53:07.354631+00,
500,Rain,light rain,4,2020-09-13 06:53:07.373664+00,2020-09-13 06:53:07.373664+00,
501,Rain,moderate rain,5,2020-09-13 06:53:07.387222+00,2020-09-13 06:53:07.387222+00,
501,Rain,moderate rain,6,2020-09-13 06:53:07.400077+00,2020-09-13 06:53:07.400077+00,
501,Rain,moderate rain,7,2020-09-13 06:53:07.4125+00,2020-09-13 06:53:07.4125+00,
500,Rain,light rain,8,2020-09-13 06:53:07.424563+00,2020-09-13 06:53:07.424563+00,
501,Rain,moderate rain,9,2020-09-13 06:53:07.440586+00,2020-09-13 06:53:07.440586+00,
501,Rain,moderate rain,10,2020-09-13 06:53:07.447294+00,2020-09-13 06:53:07.447294+00,
500,Rain,light rain,11,2020-09-13 06:53:07.453556+00,2020-09-13 06:53:07.453556+00,
500,Rain,light rain,12,2020-09-13 06:53:07.460899+00,2020-09-13 06:53:07.460899+00,
500,Rain,light rain,13,2020-09-13 06:53:07.466899+00,2020-09-13 06:53:07.466899+00,
802,Clouds,scattered clouds,14,2020-09-13 06:53:07.473231+00,2020-09-13 06:53:07.473231+00,
500,Rain,light rain,15,2020-09-13 06:53:07.479603+00,2020-09-13 06:53:07.479603+00,
500,Rain,light rain,16,2020-09-13 06:53:07.485606+00,2020-09-13 06:53:07.485606+00,
500,Rain,light rain,17,2020-09-13 06:53:07.494126+00,2020-09-13 06:53:07.494126+00,
500,Rain,light rain,18,2020-09-13 06:53:07.500889+00,2020-09-13 06:53:07.500889+00,
500,Rain,light rain,19,2020-09-13 06:53:07.507871+00,2020-09-13 06:53:07.507871+00,
804,Clouds,overcast clouds,20,2020-09-13 06:53:07.51474+00,2020-09-13 06:53:07.51474+00,
804,Clouds,overcast clouds,21,2020-09-13 06:53:07.522893+00,2020-09-13 06:53:07.522893+00,
500,Rain,light rain,22,2020-09-13 06:53:07.52959+00,2020-09-13 06:53:07.52959+00,
500,Rain,light rain,23,2020-09-13 06:53:07.536029+00,2020-09-13 06:53:07.536029+00,
500,Rain,light rain,24,2020-09-13 06:53:07.54335+00,2020-09-13 06:53:07.54335+00,
803,Clouds,broken clouds,25,2020-09-13 06:53:07.553234+00,2020-09-13 06:53:07.553234+00,
804,Clouds,overcast clouds,26,2020-09-13 06:53:07.569253+00,2020-09-13 06:53:07.569253+00,
804,Clouds,overcast clouds,27,2020-09-13 06:53:07.575267+00,2020-09-13 06:53:07.575267+00,
804,Clouds,overcast clouds,28,2020-09-13 06:53:07.582036+00,2020-09-13 06:53:07.582036+00,
500,Rain,light rain,29,2020-09-13 06:53:07.587997+00,2020-09-13 06:53:07.587997+00,
500,Rain,light rain,30,2020-09-13 06:53:07.594555+00,2020-09-13 06:53:07.594555+00,
500,Rain,light rain,31,2020-09-13 06:53:07.600212+00,2020-09-13 06:53:07.600212+00,
500,Rain,light rain,32,2020-09-13 06:53:07.606341+00,2020-09-13 06:53:07.606341+00,
500,Rain,light rain,33,2020-09-13 06:53:07.615535+00,2020-09-13 06:53:07.615535+00,
804,Clouds,overcast clouds,34,2020-09-13 06:53:07.626131+00,2020-09-13 06:53:07.626131+00,
804,Clouds,overcast clouds,35,2020-09-13 06:53:07.633+00,2020-09-13 06:53:07.633+00,
804,Clouds,overcast clouds,36,2020-09-13 06:53:07.638214+00,2020-09-13 06:53:07.638214+00,
804,Clouds,overcast clouds,37,2020-09-13 06:53:07.643581+00,2020-09-13 06:53:07.643581+00,
500,Rain,light rain,38,2020-09-13 06:53:07.64934+00,2020-09-13 06:53:07.64934+00,
500,Rain,light rain,39,2020-09-13 06:53:07.655388+00,2020-09-13 06:53:07.655388+00,
804,Clouds,overcast clouds,40,2020-09-13 06:53:07.664044+00,2020-09-13 06:53:07.664044+00,
804,Clouds,overcast clouds,41,2020-09-13 06:53:07.669483+00,2020-09-13 06:53:07.669483+00,
804,Clouds,overcast clouds,42,2020-09-13 06:53:07.674318+00,2020-09-13 06:53:07.674318+00,
804,Clouds,overcast clouds,43,2020-09-13 06:53:07.679557+00,2020-09-13 06:53:07.679557+00,
804,Clouds,overcast clouds,44,2020-09-13 06:53:07.686349+00,2020-09-13 06:53:07.686349+00,
804,Clouds,overcast clouds,45,2020-09-13 06:53:07.694412+00,2020-09-13 06:53:07.694412+00,
804,Clouds,overcast clouds,46,2020-09-13 06:53:07.699826+00,2020-09-13 06:53:07.699826+00,
804,Clouds,overcast clouds,47,2020-09-13 06:53:07.704846+00,2020-09-13 06:53:07.704846+00,
804,Clouds,overcast clouds,48,2020-09-13 06:53:07.711854+00,2020-09-13 06:53:07.711854+00,
